Latitude,Longitude,Number,Road,Locality,Post town,Admin area level 3,Admin area level 2,Admin area level 1,Postcode,Country
54.543983,-1.177669,14,Cleveland Close,Ormesby,Middlesbrough,,Redcar and Cleveland,,TS7 9BX,United Kingdom
54.529677,-1.218072,2,Fox Howe,Coulby Newham,Middlesbrough,,Middlesbrough,,TS8 0RU,United Kingdom
54.582779,-0.972401,4,Warrior Terrace,Saltburn-by-the-Sea,Saltburn-by-the-Sea,,Redcar and Cleveland,,TS12 1AN,United Kingdom
54.570778,-1.206103,131,Thornton Street,Middlesbrough,Middlesbrough,,Middlesbrough,,TS3 6PL,United Kingdom
54.567889,-1.231008,62,Egerton Street,Middlesbrough,Middlesbrough,,Middlesbrough,,TS1 3LS,United Kingdom
54.52926,-1.177556,57,Connaught Road,Nunthorpe,Middlesbrough,,Middlesbrough,,TS7 0BX,United Kingdom
54.567862,-1.229367,172,Abingdon Road,Middlesbrough,Middlesbrough,,Middlesbrough,,TS1 3JY,United Kingdom
54.555198,-1.302788,11,Henrietta Close,Thornaby,Stockton-on-Tees,,Stockton-on-Tees,,TS17 6PB,United Kingdom
54.549887,-1.173883,,Daisy Lane,Ormesby,Middlesbrough,,Redcar and Cleveland,,TS7,United Kingdom
54.519755,-1.240662,19,Ellis Gardens,Middlesbrough,Middlesbrough,,Middlesbrough,,TS8 9EX,United Kingdom
54.522855,-1.314254,15,Warbler Close,Thornaby,Stockton-on-Tees,,Stockton-on-Tees,,TS17 0TQ,United Kingdom
54.624226,-1.283457,297,Wolviston Back Lane,Stockton-on-Tees,Billingham,,Stockton-on-Tees,,TS23 3RY,United Kingdom
54.672303,-1.215555,257,Stockton Road,Hartlepool,Hartlepool,,Hartlepool,,TS25 5AU,United Kingdom
54.554003,-1.302971,25,Stanley Close,Thornaby,Stockton-on-Tees,,Stockton-on-Tees,,TS17 6PP,United Kingdom
54.554137,-1.142849,79,Moorcock Close,,Middlesbrough,,Redcar and Cleveland,,TS6 0TS,United Kingdom
54.566974,-1.309502,,The Square,Stockton-on-Tees,Stockton-on-Tees,,Stockton-on-Tees,,TS18 1TE,United Kingdom
54.578972,-1.177523,29,Coulthard Court,South Bank,Middlesbrough,,Redcar and Cleveland,,TS6 6XE,United Kingdom
54.662951,-1.227251,20,Armadale Grove,Hartlepool,Hartlepool,,Hartlepool,,TS25 5EH,United Kingdom
