Latitude,Longitude,Number,Road,Locality,Post town,Admin area level 3,Admin area level 2,Admin area level 1,Postcode,Country
54.521732,-1.309654,3,Tanner Close,Thornaby,Stockton-on-Tees,,Stockton-on-Tees,,TS17 0RD,United Kingdom
54.617659,-1.292329,15,Vincent Road,Stockton-on-Tees,Billingham,,Stockton-on-Tees,,TS23 3XT,United Kingdom
54.609911,-1.077269,20,Mersey Road,Redcar,Redcar,,Redcar and Cleveland,,TS10 1LU,United Kingdom
54.655517,-1.237281,16,Ivanhoe Crescent,Hartlepool,Hartlepool,,Hartlepool,,TS25 3HX,United Kingdom
54.581317,-1.309777,7,William Terrace,Stockton-on-Tees,Stockton-on-Tees,,Stockton-on-Tees,,TS20 2HF,United Kingdom
54.570212,-1.214358,7,Moses Street,Middlesbrough,Middlesbrough,,Middlesbrough,,TS3 6NA,United Kingdom
54.656305,-1.23308,358,Catcote Road,Hartlepool,Hartlepool,,Hartlepool,,TS25 3DZ,United Kingdom
54.589366,-1.290122,32,New Road,Stockton-on-Tees,Billingham,,Stockton-on-Tees,,TS23,United Kingdom
54.733687,-1.379171,103,North Road East,Wingate,Wingate,,County Durham,,TS28 5AY,United Kingdom
54.580237,-1.33359,7,Hartside Grove,Stockton-on-Tees,Stockton-on-Tees,,Stockton-on-Tees,,TS19 0PW,United Kingdom
